Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Khari Lee (11250760),Khari Lee,11250760,TE/FLEX,2500,LAC@BUF 09/16/2018 01:00PM ET,BUF,0
DST,Packers  (11249862),Packers ,11249862,DST,2500,MIN@GB 09/16/2018 01:00PM ET,GB,7
TE,Marcedes Lewis (11249896),Marcedes Lewis,11249896,TE/FLEX,2500,MIN@GB 09/16/2018 01:00PM ET,GB,0
TE,Lance Kendricks (11249965),Lance Kendricks,11249965,TE/FLEX,2500,MIN@GB 09/16/2018 01:00PM ET,GB,2.3
TE,Kevin McDermott (11250072),Kevin McDermott,11250072,TE/FLEX,2500,MIN@GB 09/16/2018 01:00PM ET,MIN,0
TE,David Morgan (11250389),David Morgan,11250389,TE/FLEX,2500,MIN@GB 09/16/2018 01:00PM ET,MIN,1.9
TE,Robert Tonyan (11250421),Robert Tonyan,11250421,TE/FLEX,2500,MIN@GB 09/16/2018 01:00PM ET,GB,0
TE,Josiah Price (11250484),Josiah Price,11250484,TE/FLEX,2500,MIN@GB 09/16/2018 01:00PM ET,MIN,0
TE,Tyler Conklin (11250764),Tyler Conklin,11250764,TE/FLEX,2500,MIN@GB 09/16/2018 01:00PM ET,MIN,1.6
TE,Darren Fells (11249927),Darren Fells,11249927,TE/FLEX,2500,CLE@NO 09/16/2018 01:00PM ET,CLE,2.2
TE,Josh Hill (11250094),Josh Hill,11250094,TE/FLEX,2500,CLE@NO 09/16/2018 01:00PM ET,NO,2.5
TE,Orson Charles (11250158),Orson Charles,11250158,TE/FLEX,2500,CLE@NO 09/16/2018 01:00PM ET,CLE,0
TE,Seth DeValve (11250401),Seth DeValve,11250401,TE/FLEX,2500,CLE@NO 09/16/2018 01:00PM ET,CLE,0
TE,Dan Arnold (11250817),Dan Arnold,11250817,TE/FLEX,2500,CLE@NO 09/16/2018 01:00PM ET,NO,0
TE,Kyle Nelson (11249961),Kyle Nelson,11249961,TE/FLEX,2500,DET@SF 09/16/2018 04:05PM ET,SF,0
TE,Levine Toilolo (11250129),Levine Toilolo,11250129,TE/FLEX,2500,DET@SF 09/16/2018 04:05PM ET,DET,1.7
TE,Cole Wick (11250506),Cole Wick,11250506,TE/FLEX,2500,DET@SF 09/16/2018 04:05PM ET,SF,0
TE,Michael Roberts (11250613),Michael Roberts,11250613,TE/FLEX,2500,DET@SF 09/16/2018 04:05PM ET,DET,0
TE,Gabe Holmes (11250135),Gabe Holmes,11250135,TE/FLEX,2500,ARI@LAR 09/16/2018 04:05PM ET,ARI,0
TE,Johnny Mundt (11250560),Johnny Mundt,11250560,TE/FLEX,2500,ARI@LAR 09/16/2018 04:05PM ET,LAR,0
TE,Gerald Everett (11250746),Gerald Everett,11250746,TE/FLEX,2500,ARI@LAR 09/16/2018 04:05PM ET,LAR,0
TE,Niles Paul (11250034),Niles Paul,11250034,TE/FLEX,2500,NE@JAX 09/16/2018 04:25PM ET,JAX,0
TE,James O'Shaughnessy (11250193),James O'Shaughnessy,11250193,TE/FLEX,2500,NE@JAX 09/16/2018 04:25PM ET,JAX,0
TE,Jacob Hollister (11250490),Jacob Hollister,11250490,TE/FLEX,2500,NE@JAX 09/16/2018 04:25PM ET,NE,0
TE,Andrew DePaola (11249949),Andrew DePaola,11249949,TE/FLEX,2500,OAK@DEN 09/16/2018 04:25PM ET,OAK,0
TE,Lee Smith (11249970),Lee Smith,11249970,TE/FLEX,2500,OAK@DEN 09/16/2018 04:25PM ET,OAK,0
TE,Jeff Heuerman (11250288),Jeff Heuerman,11250288,TE/FLEX,2500,OAK@DEN 09/16/2018 04:25PM ET,DEN,2.5
TE,Matt LaCosse (11250343),Matt LaCosse,11250343,TE/FLEX,2500,OAK@DEN 09/16/2018 04:25PM ET,DEN,0
TE,Derek Carrier (11250417),Derek Carrier,11250417,TE/FLEX,2500,OAK@DEN 09/16/2018 04:25PM ET,OAK,4
DST,Cowboys  (11249859),Cowboys ,11249859,DST,2500,NYG@DAL 09/16/2018 08:20PM ET,DAL,6
TE,Rhett Ellison (11250004),Rhett Ellison,11250004,TE/FLEX,2500,NYG@DAL 09/16/2018 08:20PM ET,NYG,2.6
TE,Scott Simonson (11250262),Scott Simonson,11250262,TE/FLEX,2500,NYG@DAL 09/16/2018 08:20PM ET,NYG,0
TE,Shane Smith (11250449),Shane Smith,11250449,TE/FLEX,2500,NYG@DAL 09/16/2018 08:20PM ET,NYG,0
TE,Rico Gathers (11250486),Rico Gathers,11250486,TE/FLEX,2500,NYG@DAL 09/16/2018 08:20PM ET,DAL,0
TE,Blake Jarwin (11250508),Blake Jarwin,11250508,TE/FLEX,2500,NYG@DAL 09/16/2018 08:20PM ET,DAL,0
TE,Geoff Swaim (11250517),Geoff Swaim,11250517,TE/FLEX,2500,NYG@DAL 09/16/2018 08:20PM ET,DAL,4.8
TE,Dalton Schultz (11250696),Dalton Schultz,11250696,TE/FLEX,2500,NYG@DAL 09/16/2018 08:20PM ET,DAL,0
TE,Patrick Scales (11250024),Patrick Scales,11250024,TE/FLEX,2500,SEA@CHI 09/17/2018 08:15PM ET,CHI,0
TE,Dion Sims (11250156),Dion Sims,11250156,TE/FLEX,2500,SEA@CHI 09/17/2018 08:15PM ET,CHI,2.9
